Share Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets,year_start,Company,Expenses,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Dividend Payout %,year_start,Price_start,Price_end,year_end,POSC,PE,ROSC,PayPrice,DAMT,DIVY,change
425.0,11879.0,21039.0,7401.0,40744.0,12029.0,4702.0,6693.0,17319.0,40744.0,Mar 2012,JPASSOCIAT,9362.0,269.0,1832.0,614.0,1314.0,22.0,1026.0,4.83,10.0,Mar 2013,63.20784759521485,33.099998474121094,Mar 2013,2.4141176470588235,13.086510889278436,27.950588235294116,15.820820326046112,48.3,0.7641456217480271,0.5236691286514703
370.0,7576.0,55132.0,2589.0,65667.0,450.0,0.0,21567.0,43650.0,65667.0,Mar 2012,KOTAKBANK,1773.0,977.0,3668.0,117.0,1600.0,32.0,1085.0,7.32,4.0,Mar 2013,285.8238525390625,328.3487548828125,Mar 2013,2.9324324324324325,39.04697439058231,20.475675675675674,1.3994633283635187,29.28,0.10244071563620959,1.148780103430795
122.0,25101.0,9896.0,32514.0,67632.0,7605.0,759.0,15872.0,43397.0,67632.0,Mar 2012,LT,46728.0,1393.0,767.0,699.0,6310.0,29.0,4456.0,32.34,23.0,Mar 2013,516.9769287109375,422.0718078613281,Mar 2013,36.52459016393443,15.985681159892932,205.74590163934425,4.448941282031605,743.82,1.4387876106090212,0.8164229086852063
89.0,3645.0,1099.0,1325.0,6159.0,1707.0,357.0,687.0,3407.0,6159.0,Mar 2012,LUPIN,4206.0,-14.0,29.0,132.0,1005.0,20.0,804.0,18.01,18.0,Mar 2013,559.5281982421875,760.6266479492188,Mar 2013,9.03370786516854,31.067640102286923,40.95505617977528,3.216996043550398,324.18,0.5793809874434267,1.3594071761509101
295.0,11810.0,3581.0,8085.0,23770.0,4293.0,795.0,10297.0,8385.0,23770.0,Mar 2012,M&M,28083.0,580.0,163.0,576.0,3606.0,20.0,2879.0,23.45,26.0,Mar 2013,354.628662109375,367.0102233886719,Mar 2013,9.759322033898306,15.122757446028785,40.03389830508475,7.3316126918080435,609.6999999999999,1.719263176228986,1.0349141583921893
144.0,15043.0,1237.0,5878.0,22302.0,7521.0,942.0,6147.0,7692.0,22302.0,Mar 2012,MARUTI,33303.0,1055.0,55.0,1138.0,2146.0,24.0,1635.0,56.6,13.0,Mar 2013,1073.32080078125,1154.8468017578125,Mar 2013,11.354166666666666,18.963265031470847,104.46527777777777,1.2111942664800257,735.8000000000001,0.6855359548276947,1.0759567884245058
8245.0,65046.0,50279.0,17261.0,140831.0,45256.0,41828.0,11206.0,42540.0,140831.0,Mar 2012,NTPC,47490.0,2903.0,1715.0,2792.0,12326.0,25.0,9224.0,9.32,36.0,Mar 2013,93.27706909179688,74.39800262451172,Mar 2013,1.1187386294724075,10.008269215858034,7.889144936325046,38.59469465595159,335.52,3.5970255419346877,0.7976022761960319
4278.0,108679.0,4500.0,54639.0,172096.0,21680.0,26879.0,5216.0,118320.0,172096.0,Mar 2012,ONGC,42724.0,10744.0,35.0,7496.0,36643.0,31.0,25123.0,19.58,33.0,Mar 2013,121.08673095703124,115.26439666748048,Mar 2013,5.87260402057036,6.184204849695161,25.4041608228144,27.253192599369424,646.14,5.336175110956533,0.9519160006754426
339.0,27476.0,416853.0,13524.0,458192.0,3169.0,0.0,122703.0,332320.0,458192.0,Mar 2012,PNB,10288.0,4203.0,23062.0,292.0,7037.0,31.0,4884.0,28.8,15.0,Mar 2013,123.60900115966795,82.34603881835938,Mar 2013,14.4070796460177,4.291979206932915,81.05014749262537,12.135038596925666,432.0,3.4948911159145917,0.66618157290982
4630.0,18858.0,53402.0,13319.0,90209.0,47662.0,28184.0,1284.0,13078.0,90209.0,Mar 2012,POWERGRID,1811.0,874.0,1943.0,2573.0,4598.0,29.0,3255.0,5.27,30.0,Mar 2013,64.71133422851562,53.35535430908203,Mar 2013,0.703023758099352,12.279190555695566,4.0730021598272135,46.359730266201545,158.1,2.4431577850288213,0.8245132780088859
3271.0,162825.0,68447.0,60597.0,295140.0,113723.0,7754.0,54008.0,119655.0,295140.0,Mar 2012,RELIANCE,297049.0,7777.0,2667.0,11394.0,25750.0,22.0,20040.0,28.72,14.0,Mar 2013,353.1186218261719,399.5337219238281,Mar 2013,6.126566799143992,12.295216637401529,49.77835524304494,3.964673380179796,402.08,1.1386541947876374,1.131443365568256
263.0,18387.0,9189.0,15540.0,43380.0,7072.0,682.0,12785.0,22841.0,43380.0,Mar 2012,RELINFRA,15382.0,695.0,568.0,268.0,2498.0,20.0,2000.0,76.06,10.0,Mar 2013,394.2286071777344,313.5409240722656,Mar 2013,7.604562737642586,5.183126573464822,69.91254752851711,2.53659927715281,760.6,1.9293374102024272,0.795327681359533
671.0,83280.0,1170653.0,80915.0,1335519.0,5134.0,333.0,312198.0,1017855.0,1335519.0,Mar 2012,SBIN,38152.0,14351.0,63230.0,1007.0,18483.0,37.0,11707.0,17.45,20.0,Mar 2013,171.2113494873047,143.27059936523438,Mar 2013,17.44709388971684,9.811538652567604,124.11326378539493,11.681468582480274,349.0,2.038416267642808,0.8368055026390518
104.0,7775.0,40.0,1213.0,9131.0,977.0,249.0,4438.0,3467.0,9131.0,Mar 2012,SUNPHARMA,2253.0,40.0,0.0,76.0,1726.0,2.0,1697.0,8.2,26.0,Mar 2013,315.43231201171875,493.111328125,Mar 2013,16.317307692307693,38.46735512338034,74.75961538461539,8.24265587573478,213.2,0.675897781810252,1.5632873023695817
635.0,18733.0,15881.0,19013.0,54261.0,15020.0,4037.0,20494.0,14711.0,54261.0,Mar 2012,TATAMOTORS,50129.0,-11.0,1219.0,1607.0,1341.0,7.0,1242.0,4.37,102.0,Mar 2013,225.84776306152344,294.695068359375,Mar 2013,1.9559055118110236,51.68141031156143,29.500787401574804,45.163165938559274,445.74,1.9736303515150402,1.304839438587208
237.0,11584.0,7906.0,5254.0,24981.0,7173.0,610.0,9793.0,7406.0,24981.0,Mar 2012,TATAPOWER,6711.0,983.0,515.0,570.0,1683.0,30.0,1170.0,4.32,25.0,Mar 2013,75.96187591552734,59.83164596557617,Mar 2013,4.936708860759493,17.583767573038735,48.87763713080169,32.9112461990815,108.0,1.421765835800321,0.7876536123477436
971.0,51245.0,26172.0,17414.0,95803.0,11366.0,16047.0,50283.0,18107.0,95803.0,Mar 2012,TATASTEEL,22397.0,1397.0,1925.0,1151.0,9857.0,32.0,6696.0,59.44,17.0,Mar 2013,276.1590576171875,218.00198364257807,Mar 2013,6.895983522142122,4.646013755336264,52.775489186405764,6.1558726868069815,1010.48,3.6590507250380697,0.7894073275147581
296.0,24561.0,104.0,9280.0,34141.0,4064.0,1400.0,5688.0,22989.0,34141.0,Mar 2012,TCS,26719.0,2685.0,16.0,688.0,13366.0,18.0,10976.0,28.04,45.0,Mar 2013,557.2628784179688,860.3217163085938,Mar 2013,37.08108108108108,19.873854437160084,82.97635135135135,8.075183498271395,1261.8,2.264281452915299,1.5438346059421513
274.0,12586.0,4153.0,5932.0,22945.0,11634.0,1897.0,3789.0,5626.0,22945.0,Mar 2012,ULTRACEMCO,13482.0,372.0,224.0,903.0,3393.0,28.0,2446.0,89.26,9.0,Mar 2013,1616.837890625,1438.2811279296875,Mar 2013,8.927007299270073,18.11380114973112,45.934306569343065,0.5566420760043536,803.34,0.49685871704148604,0.8895642143651828
492.0,23861.0,5287.0,8951.0,38590.0,4650.0,301.0,10335.0,23304.0,38590.0,Mar 2012,WIPRO,25640.0,1227.0,606.0,746.0,5919.0,21.0,4685.0,7.15,31.0,Mar 2013,125.55223083496094,169.9956512451172,Mar 2013,9.522357723577235,17.5597525643302,48.4979674796748,24.6909193041338,221.65,1.7654007302455668,1.3539835183699551
87.0,12826.0,3599.0,1326.0,17838.0,993.0,681.0,14421.0,1743.0,17838.0,Mar 2012,VEDL,4519.0,418.0,420.0,84.0,2421.0,31.0,1680.0,19.33,21.0,Mar 2013,95.55960083007812,106.4169921875,Mar 2013,19.310344827586206,4.9435903171276845,147.42528735632183,21.97581385604751,405.92999999999995,4.247924818373983,1.1136190530633152
96.0,2926.0,54.0,2570.0,5646.0,2102.0,53.0,465.0,3027.0,5646.0,Mar 2013,ASIANPAINT,6988.0,126.0,34.0,127.0,1516.0,31.0,1050.0,10.95,42.0,Mar 2014,397.95745849609375,593.9223022460938,Mar 2014,10.9375,36.34314689462044,30.479166666666668,10.553891905612383,459.9,1.155651163664556,1.492426613866124
468.0,32640.0,296565.0,10888.0,340561.0,2231.0,125.0,113738.0,224467.0,340561.0,Mar 2013,AXISBANK,8313.0,6551.0,17516.0,352.0,7553.0,31.0,5179.0,22.14,16.0,Mar 2014,166.2991943359375,386.1518859863281,Mar 2014,11.066239316239317,7.511255390060411,69.74358974358974,9.621213177785298,354.24,2.130136597561665,2.322031008798941
289.0,7613.0,88.0,4488.0,12479.0,1804.0,294.0,6430.0,3950.0,12479.0,Mar 2013,BAJAJ-AUTO,16335.0,788.0,1.0,167.0,4266.0,29.0,3044.0,105.18,43.0,Mar 2014,1511.0498046875,1878.78369140625,Mar 2014,10.53287197231834,14.366322539337325,26.342560553633216,2.845703686708912,4522.740000000001,2.993111137680434,1.2433631807356615
423.0,31547.0,500463.0,14703.0,547135.0,2453.0,0.0,121394.0,423289.0,547135.0,Mar 2013,BANKBARODA,9814.0,3631.0,23881.0,301.0,4831.0,7.0,4481.0,21.27,20.0,Mar 2014,89.07307434082031,169.17515563964844,Mar 2014,10.59338061465721,4.187732691152812,74.57919621749409,22.45347446241049,425.4,4.775854018154711,1.899285018414583
1899.0,52247.0,14218.0,19519.0,87883.0,43183.0,1031.0,28199.0,15471.0,87883.0,Mar 2013,BHARTIARTL,31832.0,1415.0,1652.0,6827.0,6455.0,21.0,5096.0,9.76,7.0,Mar 2014,263.5247497558594,327.4571228027344,Mar 2014,2.6835176408636126,27.000486655313463,27.512901527119535,2.656296991643138,68.32,0.2592545863843702,1.2426048145614583
490.0,29955.0,1490.0,38249.0,70183.0,4458.0,1172.0,429.0,64124.0,70183.0,Mar 2013,BHEL,39022.0,1121.0,125.0,953.0,9432.0,30.0,6615.0,18.02,20.0,Mar 2014,70.06072235107422,144.270263671875,Mar 2014,13.5,3.887942416818769,61.13265306122449,28.546665419434326,360.4,5.144109108582065,2.0592174735072932
723.0,15911.0,23839.0,26498.0,66972.0,16690.0,2420.0,12103.0,35758.0,66972.0,Mar 2013,BPCL,233985.0,1656.0,1825.0,1926.0,4036.0,35.0,2643.0,12.18,30.0,Mar 2014,55.51409149169922,144.99972534179688,Mar 2014,3.6556016597510372,4.5578071832265366,22.00691562932227,54.04033317285895,365.4,6.582112580454219,2.611944489147914
1910.0,32107.0,0.0,4224.0,38242.0,3042.0,1901.0,26410.0,6888.0,38242.0,Mar 2013,CAIRN,2327.0,900.0,66.0,962.0,6745.0,4.0,6481.0,33.93,34.0,Mar 2014,320.7,326.25,,3.393193717277487,9.451812555260831,16.809947643979058,10.601808543810415,1153.62,3.5971936389148733,1.0173058933582788
161.0,8709.0,966.0,1658.0,11493.0,3418.0,350.0,2602.0,5123.0,11493.0,Mar 2013,CIPLA,6067.0,213.0,33.0,303.0,2012.0,25.0,1507.0,18.77,11.0,Mar 2014,404.2552490234375,499.7395324707031,Mar 2014,9.360248447204969,21.537306820641316,54.09316770186335,2.721053103595509,206.47,0.510741667544877,1.2361980052897958
6316.0,14200.0,1136.0,12386.0,34038.0,97.0,122.0,9026.0,24794.0,34038.0,Mar 2013,COALINDIA,722.0,11088.0,376.0,5.0,10338.0,5.0,9794.0,15.51,90.0,Mar 2014,124.85735321044922,193.49398803710935,Mar 2014,1.5506649778340722,8.050119484877449,2.248258391386954,72.08225842197972,1395.9,11.179958281249055,1.549720405421152
340.0,14274.0,15737.0,6625.0,36976.0,2027.0,2543.0,6877.0,25530.0,36976.0,Mar 2013,DLF,881.0,1273.0,1710.0,142.0,690.0,27.0,502.0,2.95,68.0,Mar 2014,124.81167602539062,163.59124755859375,Mar 2014,1.4764705882352942,42.309042720471396,41.98235294117647,54.48208225820688,200.60000000000002,1.6072214266171032,1.3107046773838222
85.0,7698.0,2100.0,2106.0,11989.0,2387.0,423.0,2379.0,6800.0,11989.0,Mar 2013,DRREDDY,6383.0,140.0,61.0,313.0,1753.0,28.0,1266.0,74.51,20.0,Mar 2014,2135.8955078125,2776.566650390625,Mar 2014,14.894117647058824,28.665890589350422,90.56470588235294,0.9363753950905216,1490.2,0.6976933068819476,1.2999543471273438
1268.0,22959.0,9064.0,11414.0,44705.0,19707.0,8978.0,3719.0,12301.0,44705.0,Mar 2013,GAIL,40979.0,811.0,195.0,981.0,6058.0,34.0,4022.0,8.92,30.0,Mar 2014,65.28184509277344,100.21775817871094,Mar 2014,3.17192429022082,7.3185924991898474,18.10646687697161,45.95458347932163,267.6,4.099148846355489,1.53515511144468
92.0,10030.0,1284.0,1660.0,13066.0,2072.0,2425.0,6224.0,2345.0,13066.0,Mar 2013,GRASIM,4167.0,639.0,39.0,159.0,1529.0,20.0,1226.0,26.71,17.0,Mar 2014,336.13165283203125,504.9036560058594,Mar 2014,13.326086956521738,12.584487189518205,109.02173913043478,5.057542143612131,454.07,1.3508695065588001,1.5021008933608684
